d w z t
922 1561 10 2
922 1561 10 1
922 1561 10 2
922 1561 10 2
922 1561 10 1
922 1561 10 0
922 1561 10 1
922 1561 10 2
922 1561 10 1
922 1561 10 1
922 1561 10 2
922 1561 10 1
922 1633 10 1
922 1561 10 2
922 1561 10 2
922 1561 10 2
922 1561 10 2
922 1561 10 1
922 1259 10 1
922 1561 10 2
922 1561 10 2
922 1561 10 2
922 1561 10 2
922 1561 10 2
922 1561 10 1
922 1561 10 2
922 1561 10 2
922 562 10 2
445 687 2 0
445 549 2 4
445 90 2 0
445 90 2 4
445 1156 2 1
445 117 2 0
445 132 2 4
445 90 2 1
445 1156 2 4
445 90 2 1
445 90 2 1
445 132 2 4
445 687 2 4
445 176 2 4
445 1156 2 4
445 687 2 1
445 90 2 1
445 1156 2 4
445 912 2 0
445 549 2 0
445 90 2 4
445 90 2 4
445 687 2 4
445 90 2 1
445 687 2 4
445 1232 2 0
445 915 2 4
445 1156 2 0
445 1156 2 4
445 687 2 4
445 90 2 4
445 1486 2 4
445 132 2 4
445 90 2 1
445 90 2 0
445 90 2 4
445 90 2 1
445 912 2 4
445 90 2 4
445 549 2 0
445 90 2 4
445 90 2 4
445 117 2 4
445 248 2 4
445 1441 2 1
445 90 2 0
445 90 2 4
445 686 2 4
445 132 2 0
445 90 2 4
445 90 2 1
445 90 2 1
445 90 2 1
445 1156 2 4
445 90 2 2
445 1147 2 4
445 549 2 4
445 1156 2 4
445 90 2 4
445 417 2 0
445 1249 2 4
445 90 2 4
445 90 2 1
445 916 2 1
445 90 2 1
445 132 2 4
445 1441 2 4
445 124 2 1
445 90 5 3
445 1434 2 1
445 90 2 4
445 90 2 0
445 687 2 1
445 915 2 4
445 687 2 1
445 90 2 4
445 132 2 4
445 549 2 4
445 1156 2 4
445 1156 2 1
445 90 2 1
445 90 2 0
445 415 2 1
445 1156 2 0
445 1156 2 0
445 90 2 0
445 90 2 1
445 1040 2 4
445 687 2 4
445 687 2 0
445 549 2 4
445 90 2 4
445 117 2 1
445 1156 2 2
445 90 2 4
445 90 2 4
445 90 2 4
445 90 2 0
445 1156 2 4
445 687 2 4
445 1156 2 4
445 124 2 4
445 1156 2 1
445 912 2 0
445 90 2 1
445 132 2 4
445 1434 2 1
445 687 2 4
445 687 2 4
445 90 2 4
445 687 2 4
445 90 2 4
445 912 2 4
445 90 2 1
445 1156 2 0
445 90 2 0
445 1486 2 4
445 90 2 1
445 137 2 1
445 117 2 4
445 90 2 2
445 90 2 0
445 1156 2 4
445 687 2 4
445 1232 2 4
445 90 2 4
445 1156 2 1
445 1434 2 4
445 912 2 1
445 90 2 4
445 132 2 1
445 1156 2 4
445 117 2 4
445 124 2 0
445 90 2 1
445 90 2 4
445 1101 2 4
445 90 2 4
445 1156 2 0
445 687 2 0
445 1624 2 4
445 134 2 4
445 687 2 4
445 1156 2 0
445 1156 2 4
445 90 2 4
445 90 2 1
445 1156 2 4
445 356 2 4
445 687 2 1
445 90 2 4
445 1156 2 1
445 132 2 4
445 124 2 4
445 90 2 4
445 90 2 0
445 1156 2 4
445 1156 2 1
445 90 2 4
652 1801 3 2
652 1801 3 1
652 1801 3 1
652 1801 3 1
652 5558 3 0
652 1801 3 1
652 1801 3 1
652 1801 3 1
652 1801 3 0
652 5600 3 2
652 1801 3 2
652 1801 3 0
652 1801 3 2
652 1801 3 2
652 4587 3 0
652 1801 3 1
652 1801 3 0
652 6571 3 1
652 1801 3 1
652 1801 3 1
652 1801 3 2
652 1801 3 1
652 6717 3 1
652 6340 3 2
652 1801 3 1
652 6571 3 1
652 1801 3 1
652 1801 3 1
652 1801 3 0
652 1801 3 2
652 1801 3 2
652 4587 3 1
652 1801 3 1
652 1801 3 1
652 1801 3 1
652 5516 3 1
652 1801 3 2
652 1801 3 1
652 1801 3 1
652 1801 3 1
652 1801 3 2
652 1801 3 1
652 1801 3 2
652 1801 3 2
652 1801 3 0
652 1801 3 1
652 6571 3 1
652 1801 3 1
652 1801 3 1
652 1801 3 1
652 1801 3 0
652 4812 3 1
652 1801 3 0
652 1801 3 1
652 1801 3 1
652 1801 3 1
652 1801 3 0
652 1801 3 1
652 1801 3 1
652 1801 3 2
652 1801 3 0
652 1688 3 1
652 1801 3 1
652 1801 3 1
652 1801 3 0
652 1801 3 2
652 1801 3 1
652 1688 3 1
652 1801 3 1
652 1801 3 2
652 1801 3 1
652 1801 3 1
652 4853 3 1
652 1801 3 1
652 1801 3 1
652 1801 3 2
652 1801 3 1
652 1801 3 2
652 1801 3 0
652 2611 3 2
652 1801 3 1
652 1801 3 0
652 1801 3 0
652 1801 3 1
652 1688 3 2
652 1801 3 2
652 1801 3 1
652 1801 3 1
652 1801 3 1
652 6315 3 1
652 1801 3 1
652 1801 3 1
652 1801 3 1
652 1688 3 1
652 1801 3 2
652 1801 3 2
652 2967 3 0
652 1801 3 2
652 1801 3 1
652 1801 3 1
652 1801 3 1
652 1801 3 1
652 1801 3 1
333 6863 4 1
333 6863 4 0
333 6826 4 1
333 1828 4 1
333 1828 4 1
333 1828 4 1
333 1828 4 1
333 6826 4 1
333 6826 4 0
333 1828 4 1
333 1828 4 1
333 6863 4 1
333 6863 4 1
333 1828 4 1
333 1828 4 1
333 6826 4 1
333 1828 4 3
333 6863 4 0
333 6863 4 1
333 6863 4 1
333 6863 4 1
333 6826 4 1
333 6863 4 1
333 1828 4 1
333 6863 4 1
333 1828 4 2
333 6863 4 1
333 6826 4 1
333 5211 4 1
333 6826 4 1
333 6863 4 1
333 1828 4 1
333 6826 4 1
333 6826 4 2
333 6863 4 1
333 1828 4 2
333 6826 4 1
333 1828 4 1
333 1828 4 1
333 6826 4 1
333 2846 4 1
333 1828 4 1
333 1828 4 1
333 6863 4 1
333 1828 4 1
333 6863 4 1
333 6863 4 1
333 6863 4 1
333 6863 4 1
333 6863 4 1
333 1828 4 1
333 1828 4 1
333 1828 4 1
333 6577 4 1
333 6863 4 1
333 6863 4 1
333 6826 4 1
333 6826 4 1
333 6826 4 1
333 6863 4 1
333 6863 4 1
333 6826 4 2
333 6826 4 1
333 1828 4 1
333 6826 4 1
333 6863 4 1
333 6826 4 1
333 1828 4 1
333 6863 4 1
333 6826 4 1
333 6826 4 1
333 6863 4 0
333 2611 4 1
333 6826 4 1
333 1828 4 1
333 6863 4 1
333 6826 4 1
333 6826 4 0
333 6863 4 1
333 6826 4 1
333 6826 4 0
333 6826 4 1
333 6826 4 1
333 1828 4 1
333 6826 4 3
333 6863 4 1
333 1828 4 3
333 1828 4 1
333 6826 4 1
333 6863 4 2
333 6826 4 2
333 6863 4 1
333 6863 4 2
333 6863 4 1
333 6826 4 0
333 1828 4 1
333 1828 4 1
333 6826 4 1
333 6826 4 1
333 6826 4 1
333 6863 4 1
333 1828 4 1
333 6863 4 1
333 6863 4 1
333 6863 4 1
333 1828 4 1
333 6863 4 1
333 6826 4 1
333 1828 4 1
333 6826 4 1
333 6826 4 1
333 6863 4 0
333 6826 4 0
333 6863 4 0
333 6826 4 1
333 3289 4 1
333 1828 4 1
333 6826 4 1
333 1828 4 3
333 6863 4 1
333 6863 4 1
333 1828 4 1
333 6863 4 1
333 1828 4 1
333 6863 4 1
333 6826 4 1
333 1828 4 1
333 6826 4 1
333 6863 4 1
333 1828 4 1
333 6863 4 1
333 6863 4 1
333 6863 4 1
333 6863 4 1
1054 7375 3 0
1054 2075 3 0
1054 6495 3 0
1054 6462 3 0
1054 6495 3 0
1054 5193 3 0
1054 2072 3 0
1054 2115 3 1
1054 2252 3 1
1054 6495 3 0
1054 6495 3 0
1054 6462 3 2
1054 6495 3 0
1054 2252 3 0
1054 2075 3 0
1054 6495 3 0
1054 6495 3 0
1054 5976 3 0
1054 6495 3 0
1054 5193 3 3
1054 2252 3 1
1054 5193 3 0
1054 6388 3 0
1054 6495 3 0
1054 2075 3 0
1054 6495 3 0
1054 2072 3 0
1054 2072 3 0
1054 2072 3 0
1054 2115 3 0
1054 6495 3 0
1054 2115 3 0
1054 6495 3 2
1054 2072 3 0
1054 2252 3 1
1054 2115 3 0
1054 2252 3 0
1054 6495 3 1
1054 2115 3 0
1054 7375 3 0
1054 2072 3 0
1054 2290 3 0
1054 6571 3 0
1054 5101 3 0
1054 5101 3 0
1054 2072 3 0
1054 4425 3 0
1054 6495 3 0
1054 2072 3 0
1054 6495 3 0
1054 2115 3 0
1054 5101 3 0
1054 5101 3 0
1054 6462 3 1
1054 6383 3 0
1054 7375 3 2
1054 6495 3 0
1054 2072 3 0
1054 2072 3 0
1054 6495 3 1
1054 2075 3 0
1054 6495 3 0
1054 6495 3 3
1054 6462 3 0
1054 6495 3 0
1054 2115 3 0
1054 6495 3 0
1054 6495 3 0
1054 6495 3 3
1054 4489 3 0
1054 2115 3 0
1054 6495 3 0
1054 6462 3 0
1054 6495 3 0
1054 2072 3 0
1054 6495 3 0
1054 2072 3 0
1054 1801 3 1
1054 5193 3 0
1054 2072 3 0
1054 2075 3 0
1054 2252 3 0
1054 2290 3 0
1054 5085 3 1
1054 2072 3 0
1054 6495 3 0
1054 2115 3 0
1054 2115 3 0
1054 6495 3 0
1054 2115 3 2
1054 5101 3 0
1054 2252 3 0
1054 2115 3 0
1054 6495 3 0
1054 2075 3 1
1054 3592 3 1
1054 2072 3 0
110 132 5 0
110 468 5 1
110 649 5 0
454 6826 4 2
454 6863 4 0
454 7671 4 0
454 7097 4 0
454 4044 4 0
454 6863 4 2
454 6292 4 0
454 6863 4 0
454 2386 4 5
454 1801 3 3
454 7678 4 0
454 8023 4 2
454 7432 4 2
454 2140 4 0
454 8192 4 4
454 1801 3 3
454 7671 4 2
454 7475 4 1
454 8196 4 4
454 6863 4 2
454 2622 4 0
454 2140 4 0
454 3080 4 0
454 6826 4 2
454 2140 4 4
454 6863 4 0
454 7678 4 0
454 2387 4 0
454 8196 4 0
454 6549 4 4
454 2140 4 0
454 7410 4 4
454 3418 4 0
454 7792 4 4
454 2764 4 0
454 6826 4 4
454 6494 4 0
454 4553 4 0
454 2140 4 2
454 2190 4 5
454 2901 4 2
454 6826 4 0
454 2764 4 1
454 6292 4 0
454 7671 4 4
454 1828 4 0
454 8169 4 5
454 1801 4 0
454 6826 4 2
454 6852 4 4
454 7475 4 2
454 7671 4 0
454 2140 4 2
454 6863 4 4
454 2140 4 0
454 1828 4 0
454 7678 4 0
454 6863 4 0
454 6826 4 2
454 7671 4 1
454 4044 4 1
454 1801 3 3
454 3194 4 2
454 6863 4 0
454 1801 3 3
454 1801 4 0
454 6863 4 2
454 7678 4 4
454 1801 4 2
454 2764 4 2
454 2387 4 0
454 4046 4 0
454 7792 4 2
454 5526 4 4
454 3461 3 3
454 7475 4 0
454 6863 4 0
454 6863 4 2
454 6412 4 4
454 2764 4 0
454 1801 3 3
454 6826 4 1
454 7097 4 4
454 6826 4 0
454 7671 4 4
454 4760 4 2
454 3418 4 0
454 3759 4 0
454 6863 4 0
454 1801 3 3
454 2762 4 0
454 6863 4 0
454 4761 4 2
454 2387 4 4
454 1828 4 0
454 5211 4 4
454 3418 4 0
454 1900 4 4
454 6863 4 2
454 1801 4 4
454 4019 4 0
454 2139 4 4
454 1801 3 3
454 6826 4 0
454 8192 4 0
454 1852 4 0
454 1852 4 4
454 1801 3 3
759 1801 4 0
759 2844 4 1
759 2844 4 0
759 2844 4 0
759 6826 4 0
759 2844 4 1
759 2844 4 1
759 2844 4 1
759 2844 4 0
774 1801 3 2
774 6826 4 0
774 1801 3 1
774 1801 3 1
774 1420 4 0
774 1801 3 2
774 6826 4 0
774 6863 4 0
774 6826 4 0
774 6826 4 0
774 6826 4 0
774 1801 4 0
774 6826 4 0
774 8192 4 0
774 6826 4 0
774 1801 3 1
774 1801 3 1
774 6826 4 0
774 1801 3 1
774 6826 4 0
774 6826 4 0
774 1801 3 2
774 1801 3 1
774 6826 4 0
774 1801 3 1
774 6826 4 0
774 6826 4 0
774 1801 4 0
774 6826 3 1
774 6826 4 0
774 6826 4 0
774 1801 3 2
774 1801 3 1
774 1801 3 1
774 6826 4 0
774 1801 3 1
774 6826 4 0
774 1801 3 1
774 6826 4 0
774 6826 4 0
774 6826 4 0
774 6826 4 0
774 6826 4 0
774 1801 3 1
774 1801 4 0
774 6826 4 0
774 6826 4 0
774 6826 4 0
774 1801 3 1
774 1801 3 1
774 1801 3 1
774 6826 4 0
774 6826 4 0
774 6826 4 0
774 6826 4 0
774 1801 3 1
774 6826 4 0
774 6826 4 0
774 1801 3 1
774 1801 3 1
774 1801 3 1
774 1631 4 0
774 1801 3 1
774 1110 4 0
774 1801 3 2
774 1801 4 0
774 6826 4 0
774 6826 4 0
774 6826 4 0
774 2946 4 0
774 1514 4 0
774 6826 4 0
774 6826 4 0
774 6826 4 0
774 1801 3 1
774 1801 3 1
774 6826 4 0
774 1801 3 1
774 6826 4 0
774 8196 4 0
774 1801 3 2
774 1801 3 1
774 1110 4 0
774 1801 3 1
774 6826 4 0
774 6826 4 0
774 2946 4 0
774 6826 4 0
774 6826 4 0
774 6826 4 0
774 1801 3 1
774 6826 4 0
774 6826 4 0
774 6826 4 0
774 1801 3 1
774 6826 4 0
774 6826 4 0
774 6826 4 0
774 6826 4 0
774 1801 3 2
512 1055 1 1
512 1046 1 1
512 1046 5 2
512 1210 1 1
512 1046 1 0
512 531 1 1
512 499 1 0
512 1046 1 1
512 1304 1 0
512 168 5 2
512 1046 1 1
512 588 1 0
512 152 1 1
512 282 1 1
512 152 1 0
512 1046 1 0
512 1046 1 0
512 1046 1 1
512 1047 1 1
512 246 1 1
512 1356 1 0
512 90 1 1
512 1656 1 1
512 1046 1 1
512 1669 1 1
512 1304 1 1
512 814 1 1
512 1046 1 0
512 1046 1 0
512 713 1 1
512 1304 1 1
512 1046 1 1
512 499 1 1
512 1046 1 1
512 1046 1 1
512 1046 1 1
512 152 1 0
512 451 1 1
512 1656 1 1
512 1210 1 1
512 152 1 0
512 152 1 0
512 1046 1 1
512 1656 1 1
512 1046 1 1
512 616 1 1
512 1046 1 1
512 1118 1 1
512 168 1 1
512 713 1 0
512 622 1 1
512 773 1 1
512 1046 1 0
512 152 1 0
512 152 1 1
512 152 1 0
512 246 1 1
512 329 1 0
512 2007 1 1
512 281 1 1
512 168 1 1
512 1046 1 0
512 152 1 1
512 1046 1 1
512 1046 1 1
512 1534 1 1
512 1055 1 1
512 1046 1 1
512 1304 1 1
512 657 1 1
512 1046 1 0
512 195 1 1
512 1046 1 1
512 1046 1 1
512 1046 1 1
512 1046 1 0
512 1046 1 1
512 1235 1 1
512 1046 1 1
314 1797 0 2
314 1796 0 0
314 1797 0 4
314 1796 0 0
314 1796 0 0
314 4889 0 0
314 1800 0 0
314 1800 0 0
314 1799 0 0
314 1799 0 0
314 1800 0 0
314 1797 0 0
314 1798 0 0
314 1796 0 0
314 1800 0 0
314 1796 0 0
314 1796 0 0
314 1800 0 0
314 1798 0 0
314 1795 0 0
314 1800 0 0
314 1797 0 0
314 1796 0 0
314 1797 0 0
314 1800 0 0
314 1797 0 0
314 1800 0 0
314 1797 0 0
314 1798 0 0
314 1797 0 0
314 1798 0 0
314 1796 0 0
314 1797 0 5
314 1800 0 0
314 1797 0 0
314 1795 0 0
314 5618 0 0
314 1800 0 0
314 1799 0 0
314 1796 0 0
314 1799 0 0
314 1799 0 0
314 1796 0 0
314 1797 0 0
314 1799 0 0
314 1798 0 0
314 1800 0 5
314 1799 0 0
314 1798 0 0
314 1799 0 0
314 1798 0 0
314 1798 0 0
314 1795 0 0
314 1795 0 0
314 4894 0 0
314 1800 0 0
314 1797 0 0
314 1797 0 0
314 1799 0 0
314 1797 0 0
314 1798 0 0
314 1799 0 0
314 1796 0 0
314 1796 0 0
314 1796 0 0
314 1800 0 0
314 1798 0 0
314 1797 0 0
314 1798 0 0
314 1796 0 0
314 1795 0 0
314 1799 0 0
314 1795 0 0
314 1796 0 0
314 1796 0 0
314 1795 0 0
314 1797 0 0
314 1795 0 0
314 1799 0 0
314 5620 0 0
314 1798 0 0
314 1799 0 0
314 1796 0 0
314 1795 0 0
314 1795 0 5
314 1799 0 0
314 1800 0 0
314 1800 0 1
314 1799 0 0
314 1798 0 0
314 1796 0 0
314 1799 0 0
314 1796 0 0
314 1797 0 0
314 1795 0 0
314 1799 0 0
314 1798 0 0
314 1798 0 0
314 1797 0 0
314 1796 0 0
314 1800 0 0
314 1799 0 0
314 1799 0 0
314 1796 0 0
314 1799 0 0
314 1800 0 0
314 1799 0 0
314 1800 0 0
314 1797 0 0
314 1798 0 0
314 1796 0 0
314 1800 0 0
314 4893 0 0
314 1799 0 0
314 1796 0 0
314 1798 0 0
314 1799 0 0
314 1799 0 0
314 1798 0 0
314 1796 0 0
314 1796 0 0
314 1798 0 0
314 1797 0 0
314 1795 0 0
314 1798 0 0
314 1795 0 0
314 1796 0 0
314 1800 0 0
314 1797 0 0
314 1797 0 0
314 1800 0 0
314 1796 0 0
314 1795 0 0
314 1798 0 0
314 1795 0 0
314 1799 0 0
314 1800 0 0
314 1799 0 0
314 5616 0 0
314 1795 0 0
314 1795 0 0
314 1797 0 0
314 1798 0 0
314 1796 0 0
314 1796 0 4
314 1800 0 0
314 1795 0 2
314 1799 0 0
314 1795 0 2
314 1799 0 0
314 1799 0 6
314 1796 0 0
314 1798 0 0
314 1795 0 0
314 1799 0 0
314 1797 0 0
314 1798 0 0
314 1800 0 0
314 1795 0 0
314 1800 0 0
314 1796 0 0
314 1799 0 0
314 1798 0 0
314 1795 0 0
314 5619 0 2
314 1795 0 0
314 1797 0 0
314 1799 0 0
314 1796 0 4
314 1797 0 0
314 1800 0 4
314 1796 0 2
314 1800 0 0
314 1800 0 0
314 1798 0 0
314 1798 0 0
314 1796 0 4
314 1797 0 0
314 1797 0 0
314 1796 0 0
314 1796 0 0
314 1795 0 0
314 1800 0 0
314 1795 0 0
314 1798 0 0
314 1796 0 0
314 1797 0 0
314 1795 0 0
314 1800 0 0
314 4890 0 0
314 1795 0 0
314 1798 0 0
314 1799 0 4
314 1795 0 0
314 1797 0 0
314 1796 0 0
314 1798 0 0
314 1795 0 4
314 1795 0 0
314 1798 0 2
314 1796 0 0
314 1800 0 0
314 1796 0 0
314 1797 0 0
314 1798 0 0
314 1800 0 0
314 1799 0 0
314 1798 0 0
314 1796 0 0
314 1796 0 0
314 1797 0 0
314 1799 0 0
314 1796 0 0
314 1796 0 0
314 1797 0 0
314 1794 0 0
314 1797 0 0
314 1799 0 0
314 1795 0 0
314 1800 0 0
314 1797 0 0
314 1796 0 0
314 1795 0 0
314 1795 0 0
314 1795 0 2
314 1798 0 4
314 1800 0 0
314 1800 0 0
314 1798 0 3
314 1798 0 0
314 1796 0 0
314 1798 0 0
314 1799 0 0
314 1796 0 5
314 1795 0 0
314 1800 0 0
314 1800 0 0
314 1798 0 0
314 1797 0 0
314 1799 0 0
314 1797 0 0
314 1796 0 0
314 1795 0 0
314 1798 0 0
314 1798 0 0
314 1795 0 0
314 1800 0 0
314 1800 0 0
314 1796 0 0
314 1795 0 5
314 1796 0 0
314 1795 0 0
314 1797 0 0
314 1799 0 0
314 1796 0 0
314 1796 0 0
314 1800 0 0
314 1796 0 2
314 1796 0 0
314 1800 0 0
314 1796 0 0
314 1799 0 0
314 1795 0 0
314 1795 0 0
314 1795 0 0
314 1798 0 0
314 1800 0 0
314 1795 0 0
314 1798 0 0
314 1800 0 0
314 1799 0 0
314 1799 0 0
314 1797 0 0
314 1799 0 0
314 1795 0 0
314 5617 0 0
314 1797 0 0
314 1800 0 0
314 1800 0 0
314 1800 0 0
314 1798 0 0
314 1797 0 0
314 1797 0 0
314 1799 0 0
314 1799 0 0
314 1797 0 0
314 1798 0 0
314 1797 0 0
314 1798 0 0
314 1795 0 2
314 1798 0 0
314 1800 0 0
314 1799 0 5
314 1799 0 4
314 1795 0 0
314 1795 0 0
314 1795 0 0
314 1795 0 0
314 1795 0 0
314 1799 0 0
314 1795 0 0
314 1799 0 0
314 1795 0 0
314 1799 0 2
314 1795 0 0
314 1797 0 0
314 1799 0 0
314 1798 0 0
314 1800 0 0
314 1795 0 0
314 1796 0 0
314 1795 0 0
314 1798 0 0
314 1799 0 4
314 1797 0 0
314 1795 0 0
314 1797 0 0
314 1800 0 0
314 1798 0 0
314 1797 0 0
314 1799 0 0
314 4895 0 0
314 1797 0 0
314 1798 0 0
314 1800 0 0
314 1799 0 0
314 1800 0 0
314 1796 0 0
314 1799 0 0
314 1795 0 0
314 1795 0 0
314 5614 0 0
314 1795 0 0
314 1798 0 0
314 1800 0 0
314 1795 0 0
314 1797 0 0
314 1796 0 0
314 1800 0 0
314 1799 0 2
314 1796 0 0
314 1798 0 0
314 1798 0 0
314 1798 0 0
314 1800 0 0
314 1797 0 0
314 1797 0 5
314 1797 0 4
314 1796 0 0
314 5615 0 0
314 1799 0 0
314 1799 0 0
314 1799 0 0
314 1799 0 0
314 1795 0 0
314 1798 0 2
314 1797 0 0
314 1795 0 0
314 1798 0 0
314 1799 0 0
314 1798 0 0
314 1799 0 0
314 1799 0 0
314 1798 0 0
314 1795 0 0
314 1795 0 0
314 1799 0 0
314 1796 0 2
314 1798 0 0
314 1800 0 0
314 1797 0 0
314 1795 0 0
314 1795 0 0
314 1798 0 0
314 1796 0 0
314 1795 0 0
314 1798 0 0
314 1799 0 0
314 1800 0 0
314 1794 0 0
314 1800 0 0
314 1798 0 0
314 1797 0 0
314 1799 0 0
314 1798 0 0
314 1799 0 0
314 1797 0 0
314 1798 0 2
314 1799 0 0
314 4891 0 0
314 1800 0 0
314 1797 0 0
314 1800 0 0
314 1795 0 0
314 1796 0 0
314 1796 0 0
314 1799 0 0
314 1796 0 0
314 1797 0 5
314 1797 0 0
314 1795 0 0
314 1799 0 0
314 1799 0 0
314 1797 0 0
314 1800 0 0
314 1796 0 0
314 1796 0 0
314 1797 0 0
314 1797 0 0
314 1796 0 0
314 1797 0 0
314 1795 0 0
314 1796 0 0
314 1798 0 0
314 1797 0 0
314 1799 0 0
314 1798 0 0
314 1798 0 0
314 1795 0 0
314 1800 0 0
314 1795 0 0
314 1798 0 0
314 1796 0 0
314 1796 0 0
314 1798 0 0
314 1796 0 0
314 1796 0 0
314 1796 0 0
314 1797 0 0
314 1800 0 0
314 1799 0 0
314 1797 0 0
314 1795 0 0
314 1800 0 0
314 1796 0 0
314 1798 0 0
314 1799 0 0
314 1798 0 0
314 1797 0 0
314 1800 0 0
314 1797 0 0
314 1799 0 0
314 1800 0 5
314 1800 0 0
314 1798 0 0
314 1795 0 0
314 1797 0 0
314 1799 0 0
314 1798 0 0
314 1800 0 0
314 1798 0 0
314 1799 0 0
314 1798 0 0
314 1795 0 0
314 1798 0 2
314 1797 0 0
314 1797 0 0
314 1797 0 0
314 1799 0 4
314 1795 0 0
314 1798 0 0
314 1800 0 0
314 1798 0 0
314 1799 0 0
314 1797 0 0
314 1800 0 0
314 1797 0 0
314 1797 0 2
314 1800 0 0
314 1795 0 0
314 1799 0 0
314 1799 0 0
314 1795 0 0
314 1798 0 0
314 1795 0 0
314 1798 0 0
314 4892 0 0
314 1800 0 0
314 1795 0 0
314 1795 0 0
314 1796 0 0
314 1799 0 0
314 1799 0 0
314 1799 0 0
314 1796 0 2
314 1798 0 0
314 1800 0 0
314 1799 0 0
314 1796 0 0
314 1797 0 0
314 1800 0 0
314 1796 0 0
314 1800 0 0
314 1795 0 0
314 1799 0 0
314 1797 0 4
314 1796 0 3
314 1800 0 0
314 1795 0 0
314 1795 0 0
314 1798 0 0
314 1797 0 0
314 1800 0 0
314 1800 0 2
314 1797 0 0
314 1796 0 0
314 1798 0 0
314 1797 0 0
314 1797 0 0
314 1800 0 4
314 1795 0 0
314 1796 0 0
314 1798 0 0
314 1796 0 0
314 1797 0 0
314 1799 0 0
314 1797 0 0
314 1798 0 0
314 1800 0 0
314 1797 0 0
314 1796 0 0
314 1795 0 0
314 1798 0 2
314 1800 0 0
314 1800 0 0
314 1799 0 0
314 1795 0 0
314 1795 0 2
314 1798 0 0
314 1796 0 0
314 1796 0 4
314 1795 0 0
314 1800 0 0
314 1798 0 0
314 1794 0 0
314 1797 0 0
314 1795 0 0
314 1800 0 0
314 1799 0 0
314 1800 0 0
314 1797 0 0
314 1796 0 0
314 1799 0 0
314 1799 0 5
314 1795 0 0
314 1795 0 0
314 1800 0 0
314 1800 0 0
314 1796 0 0
314 1797 0 0
314 1796 0 0
314 1795 0 0
314 1798 0 0
314 1796 0 0
314 1799 0 0
314 1800 0 0
314 1797 0 0
314 1797 0 0
314 1800 0 0
314 1800 0 0
314 1797 0 0
314 1798 0 0
314 1800 0 0
314 1798 0 0
314 1798 0 2
314 1795 0 0
314 1796 0 0
314 1796 0 0
314 1800 0 0
314 1796 0 0
314 1799 0 0
314 1798 0 0
314 1799 0 0
314 1797 0 0
314 1796 0 4
314 1797 0 0
314 1798 0 0
314 1800 0 0
314 1795 0 0
314 1798 0 0
314 1800 0 0
97 6930 13 3
97 6930 13 3
97 6930 13 1
